Codice Utente;Ragione Sociale;Attivazione N.;Data Attivaz;Release;Numero C.A.L.;Descrizione prodotto;Ha personalizzazioni;ACQT;ADKF;ADPK;AUDT;BAII;BAPL;BARC;BICO;CASH;CFIN;CFUL;COAN;COMF;COMM;CONA;CONF;CONT;COPR;CRED;CSPT;DIST;EATT;EDU1;ELSR;FISC;IBCO;INPC;INSP;INTR;LIBR;LOTT;MAGA;MAIF;MAIL;MANM;MDOC;MDPS;MIGR;OPOR;ORCL;ORFO;OSLL;OSLS;PACK;PCKF;PRPA;PRZA;PRZB;PRZP;RAEE;SCHD;SCOM;SERD;SEVR;SFMG;SOSC;TRKF;TRPK;UBIC;VARI;VEDT;WMAA;WMAD;WMRF;XBRL;XGAT
14013;CROSA GIAMBATTISTA SISTEMI DI POMPAGGIO E RAPPR.TERMOTECNICHE;7;01/02/2010;2.13.3.20090918;1;Mago.Net STD Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
19121;CROSA TECNOLOGIE SRL;33;20/02/2018;3.14.4.0335;3;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;
6938;DALL'ORTO EDILIO S.N.C.;13;27/06/2017;3.13.0.0348;1;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1915;DEKA TOOLS S.R.L.;5;22/05/2009;2.12.2.20090401;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16463;DELPHIS S.R.L.;16;07/07/2014;3.9.5.0025;7;Mago.Net PRO Powered by MSDE;No;X;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;;;X;;;;;;;;;;;;;;;;;;
7844;DITTA BETONPONENTE DI LISA F.;8;22/06/2007;2.13.0.20090603;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;
21085;DITTA GENTILE SNC;3;27/03/2015;3.11.4.0113;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
11613;DOCK SERVICE SRL;6;04/03/2008;2.9.5.20080206;3;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12729;DOMORI SRL;81;09/07/2008;2.8.4.20070824;18;Mago.Net PRO Powered by SQL Server;Si;X;;X;X;;;;;;;;X;;;;;;;;X;X;;;X;;;;;;;;;;X;;X;;X;;X;X;;X;;;;X;X;X;;;;;;;;;;;;;;;;;
22024;DUFRE CONSULTING S.R.L.;5;13/12/2017;3.14.1.3710;1;Mago.Net PRO Powered by MSDE;Si;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5978;DYNAMIC SRL;24;26/07/2017;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;X;;D;X;D;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
19089;E.C.S. S.R.L.;1;20/01/2010;3.0.2;1;Mago.Net PRO Powered by MSDE;No;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;
1608;E.S. BURIONI - RICERCHE BIBLIOGRAFICHE S.R.L.;8;29/09/2009;2.13.1.20090618;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
22762;ECA SINDEL SRL;10;28/05/2018;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;No;;X;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15280;ECOGEA S.A.S.;10;08/11/2016;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
10229;ECONEVEA SRL;5;20/05/2009;2.12.2.20090401;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7606;EDIL MERELLO PORTOFINO SRL;10;27/07/2017;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19015;EDILFERRAMENTA SNC DI GARBARINO C&C;4;08/11/2013;3.9.5.0025;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;
22341;EDILGROUP SRL;2;12/05/2014;3.12.1.0094;4;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;
6906;EDILIZIA DE FRANCESCO G. & C. SAS;5;12/04/2007;2.9.6.20080312;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;
12264;EDILMAN S.R.L.;7;27/10/2011;3.9.5.0025;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3998;ENI SPA;22;30/07/2014;2.8.4.20070824;10;Mago.Net PRO Powered by SQL Server;Si;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;X;;;;;;;X;;;;;;;;X
8079;ENTE BACINI SRL;29;30/09/2016;3.11.3.0029;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;D;;D;;;;;D;;;;D;;;;;;;;;D;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
13734;ERGA SNC DI MERLI FABIO & C.;29;17/07/2017;3.14.0.0276;3;Mago.Net PRO Powered by MSDE;Si;X;;X;;;;;;;;;D;;;;;;;;;;;;;X;;;;;;;;;X;;;;X;;X;D;;;;;;;;;;;;;;;;;;;;;;;;;
16896;ETIADESIV SRL;10;28/11/2017;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18251;ETT SRL;19;16/11/2018;3.14.4.0335;10;Mago.Net PRO Powered by MSDE;Si;X;;;;;;;;;;;X;;;;;;X;;X;;X;;;X;;;;;;;;;X;;;;;;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;
21865;EUROCOLORS S.A.S. DI CICALA M. CICALA S. & C.;10;12/04/2017;3.14.5.0520;12;Mago.Net PRO All Database;Si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
23655;EVOLVE SHOP SRL;13;09/11/2017;3.12.15.0170;2;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;
5791;F.LLI ANSELMO SNC DI ANGELO ANSELMO & C.;4;26/06/2006;2.1.8.20060420;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5812;F.LLI BRACCO S.N.C.;11;31/03/2017;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;D;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;
17579;F.LLI VILLA SRL;186;27/01/2018;3.14.4.0335;30;Mago.Net PRO All Database;Si;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;X;;;;;;;;;X;;;;;;;X;;;;;;;;X;;;;;;;;X
21046;FAC MARINE DI FRANCA GARBARINO S.A.S.;1;26/06/2012;3.12.9.0017;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
20992;FARMACIA CENTRALE SNC;6;19/03/2014;3.9.0.0135;2;Mago.Net PRO Powered by MSDE;Si;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
9460;FARMACIA FINADRI DI FINADRI DR. G. SNC;14;16/08/2017;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;
15936;FENICE ADVANCED TECHNOLOGIES & COMMERCIAL SERVICES SRL;5;15/05/2009;2.12.3.20090512;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;
19175;FERRANDO F. S.N.C. DI ANNA BASCHIERA & C;15;13/03/2018;3.14.4.0335;3;Mago.Net PRO All Database;Si;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;
11132;FERRARO BONINA RAGIONIERI;7;16/09/2011;3.5.3.0015;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15938;FERROVIA GENOVA CASELLA SRL;12;02/03/2010;2.13.4.20100216;6;Mago.Net PRO Powered by SQL Server;Si;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;
18551;FINCANTIERI S.P.A.;3;31/07/2009;2.13.1.20090618;10;Mago.Net PRO All Database;Si;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;
14272;FINGIM COSTRUZIONI SRL;4;28/11/2008;2.11.0.20081104;2;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6089;FORNEDIL SRL;7;22/05/2018;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
10282;FRATELLI COLOMBINO SNC;11;03/07/2015;3.14.0.0276;5;Mago.Net PRO All Database;No;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5488;FRATELLI DRAGO SAS;8;28/12/2017;3.10.1.0046;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
