Codice Utente;Ragione Sociale;Attivazione N.;Data Attivaz;Release;Numero C.A.L.;Descrizione prodotto;Ha personalizzazioni;ACQT;ADKF;ADPK;AUDT;BAII;BAPL;BARC;BICO;CASH;CFIN;CFUL;COAN;COMF;COMM;CONA;CONF;CONT;COPR;CRED;CSPT;DIST;EATT;EDU1;ELSR;FISC;IBCO;INPC;INSP;INTR;LIBR;LOTT;MAGA;MAIF;MAIL;MANM;MDOC;MDPS;MIGR;OPOR;ORCL;ORFO;OSLL;OSLS;PACK;PCKF;PRPA;PRZA;PRZB;PRZP;RAEE;SCHD;SCOM;SERD;SEVR;SFMG;SOSC;TRKF;TRPK;UBIC;VARI;VEDT;WMAA;WMAD;WMRF;XBRL;XGAT
18918;TAGLIAFICO LUCI E ARREDI URBANI SNC;17;27/04/2018;3.14.0.0276;1;Mago.Net PRO All Database;No;X;X;;;;;;;;;;;;;;;;;;D;X;;;;X;;;;;;;;;X;;;;;;X;X;;;;;;;;;X;;;;;;;;;;;;;;;;
6937;TEC CONTAINER SRL;12;27/07/2017;3.14.4.0335;4;Mago.Net PRO Powered by MSDE;Si;X;;X;;;;;;;;;X;;;;;;;;X;X;;;X;X;;;;;;;;;;;X;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
5146;TECNOVA S.R.L.;31;09/01/2018;3.14.4.0335;4;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;X;;X;;;X;;;;;;X;X;X;;X;;;;;;;;;;;X;;;;;;;;;;;
9357;TEKNOMATICA S.R.L.;15;28/03/2014;3.5.7.0025;3;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;X;;;;;;;X;;X;;X;X;;;X;;;;;;;;;;;X;;;;;;;;;;;X
3075;TENCO SRL;17;27/04/2015;3.12.12.0035;8;Mago.Net PRO All Database;No;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
2402;THE INTERNATIONAL SCHOOL IN GENOA;13;02/12/2014;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;D;;;;;;X;X;;;;;;;;;;;;;D;;;;;;X;;;;;;;;;;;D;;;;;;;;;;;
15164;THESIS S.R.L;8;24/07/2017;3.14.4.0335;2;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
6835;TIXE SRL;19;02/03/2017;3.14.4.0335;4;Mago.Net PRO All Database;Si;;X;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
25385;TIXE SRL;3;22/11/2018;3.14.4.0335;4;Mago.Net PRO All Database;Si;;X;;;;;;;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
20227;URRUTY GG. NIEGO S.R.L.;21;13/11/2018;3.14.4.0335;15;Mago.Net PRO All Database;Si;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
18431;V.P.S. CROCE D'ORO SCIARBORASCA ONLUS;5;02/11/2012;3.10.1.0028;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
2351;VALSECCHI BATTISTA S.R.L.;7;08/02/2005;1.2.5.20050620;4;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
9931;VERCELLI LUIGI;6;04/12/2006;2.13.3.20090918;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;
183;VILLAGGIO DEL RAGAZZO;7;12/01/2013;3.9.0.0135;25;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10405;VIRGILIO VALOBRA DI GUGLIELMO VALOBRA;15;15/09/2016;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;X;;X;X;;;X;;;;;;;;;;;X;;;;;;;;;;;
6421;VISION SERVICE GROUP S.P.A.;44;09/10/2007;2.8.4.20070824;10;Mago.Net PRO Powered by SQL Server;No;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;X;;X;;X;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;X
2198;VISTA LASER SRL;7;22/02/2012;3.12.6.0551;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2879;VULKAN ITALIA SRL;78;16/09/2013;2.13.5.20100324;25;Mago.Net PRO Powered by SQL Server;No;X;;X;;;;;;;;;X;;;;;;;;X;X;;;X;;;;;;;;;;X;;X;;X;;X;X;;X;;;;X;X;;;;;;;;;;;;;;;;;;X
2197;WEED & WEED SRL;11;26/07/2017;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3751;WINCOM S.R.L.;7;23/11/2006;2.9.2.20071119;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;X;;;;;;;;;;;;;;;;;;
6886;WORLD TRADE & CONSTRUCTIONS GENOVA SRL;5;13/03/2007;2.8.4.20070824;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
