Module;Functionality;Tag;Discontinued;Fragment;AllowISO;DenyISO;NotYetAvailable
;Advanced Items Management;VEDT;FALSE;AdvancedItemsManagement;;;FALSE
Sale Orders;;ORCL;FALSE;SaleOrders;;;FALSE
;Customer Quotations;ORCL;FALSE;CustomerQuotations;;;FALSE
Sale Invoices / Delivery Notes;;VEDT;FALSE;Sales;;;FALSE
;Multiple Stub Books;VEDT;FALSE;MultiStubBooks;;;FALSE
;Picking List;VEDT;FALSE;PickingList;;;FALSE
e-commerce;;KKCN;FALSE;eCommerce;;;FALSE
Store Management;SM Backend;STMN;FALSE;StoreManagement;;;FALSE
;Variants / Size and Colors;RMVN;FALSE;StoreVariants;;;FALSE
;Food Recipes;STRE;FALSE;FoodRecipe;;;FALSE
;In-store - Backend;STIA;FALSE;InStore;;;FALSE
;In-store - App;STIC;FALSE;InStoreApp;;;FALSE
CRM;Infinity Connector;MAIF;FALSE;InfinityConnector;;;FALSE
;CRM User sales;CRMS;FALSE;CRMUserSales;;;FALSE
;CRM User marketing;CRMM;FALSE;CRMUserMarketing;;;FALSE
;CRM User full;CRMF;FALSE;CRMUserFull;;;FALSE
Conai;;CONA;FALSE;Conai;IT,RO,BG,HU,ES;;FALSE
WEEE;;RAEE;FALSE;WEEE;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK;;FALSE
Sales Force Management;;SFMG;FALSE;SalesPeople;;;FALSE
Credit Limit Management;;CRED;FALSE;CreditLimit;;;FALSE
Additional Charges;;SEVR;FALSE;AdditionalCharges;;BR;FALSE
Purchase Orders;;ORFO;FALSE;PurchaseOrders;;;FALSE
;Supplier Quotations;ORFO;FALSE;SupplierQuotations;;;FALSE
Purchases;;ACQT;FALSE;Purchases;;;FALSE
;Electronic Invoices Import in Purchase Documents;CPAC;FALSE;PurchaseElectronicInvoicingAdv;;;FALSE
Inventory;;MAGA;FALSE;Inventory;;;FALSE
;Multistorage;MAGA;FALSE;MultiStorage;;;FALSE
;Single Step LIFO/FIFO;MAGA;FALSE;SingleStepLifoFifo;HU,IT,CH,BG,DE;;FALSE
;Inventory Adjustments Entries;MAGA;FALSE;InventoryAdjustment;;;FALSE
Quality Inspections;;INSP;FALSE;QualityInspection;;;FALSE
Barcode Manager;;BARC;TRUE;;;;FALSE
Lots and Serial Numbers;;LOTT;FALSE;LotsSerials;;;FALSE
WMS;WMS Basic;WMAA;FALSE;WMSBasic;;;FALSE
;WMS Advanced;WMAD;FALSE;WMSAdvanced;;;FALSE
;WMS Shipping;WMSH;TRUE;WMSShipping;;;FALSE
;WMS Mobile - backend;WMRF;FALSE;WMSMobile;;;FALSE
;WMS Mobile - app;WMRC;FALSE;WMSMobileApp;;;FALSE
Resources Management;;SEVR;FALSE;_RESMAN;;;FALSE
Bill of Materials;;DIST;FALSE;BillOfMaterials;;;FALSE
;Engineering Changing Order;ECO;FALSE;ECO;;;FALSE
Variants;;VARI;FALSE;Variants;;;FALSE
Configurator;;CONF;FALSE;Configurator;;;FALSE
Basic Manufacturing;;PRZB;FALSE;ManufacturingBasic;;;FALSE
Advanced Manufacturing;;PRZA;FALSE;ManufacturingAdvanced;;;FALSE
;Drawings Management, History and Versioning;PRZA;FALSE;BillOfMaterialsPlus;;;FALSE
;Kanban;PRZA;FALSE;Kanban;;;FALSE
Open Orders;;OPOR;FALSE;OpenOrders;;;TRUE
Manufacturing Mobile;Manufacturing Mobile backend;MANM;FALSE;ManufacturingMobile;;;FALSE
;Manufacturing Mobile app;MANC;FALSE;ManufacturingMobileApp;;;FALSE
Planning;Basic Planning;PRZP;FALSE;ManufacturingPlanning;;;FALSE
;Advanced Planning;PRPA;FALSE;MRPAdvanced;;;FALSE
Tools Management;;ATTR;FALSE;ToolsManagement;;;FALSE
_DMS;Basic;EATT;FALSE;DMS;;;TRUE
